slug	status	attempts	unlinked	prompt_tokens	output_tokens	usd	seconds	failures
phuong-phap-nghien-cuu-khoa-hoc	repaired	2	0	24942	9898	0.01687	90.3	
mo-hinh-nghien-cuu	repaired	2	0	24797	9614	0.01650	90.3	
luan-van	ok	1	0	9789	4883	0.00782	43.0	
phieu-khao-sat	ok	1	0	9900	4752	0.00768	43.5	
cb-sem-la-gi	ok	1	0	9848	4455	0.00732	46.6	
phuong-phap-luan-la-gi	ok	1	0	9892	4965	0.00794	53.2	
gia-thiet-hay-gia-thuyet	ok	1	0	9898	5236	0.00826	55.4	
mo-hinh-hoi-quy-tuyen-tinh	repaired	2	0	24770	9723	0.01662	88.1	
mo-hinh-tpb	ok	1	0	9797	4626	0.00751	33.5	
ave-trong-smartpls	ok	1	0	9773	4603	0.00748	42.5	
bai-nghien-cuu-khoa-hoc	ok	1	0	9906	4363	0.00722	43.7	
dao-van	ok	1	0	9789	4299	0.00712	45.2	
gg-form-khao-sat	ok	1	0	9829	4466	0.00732	47.8	
scale-la-gi	repaired	2	0	24154	8622	0.01518	91.4	
du-lieu-so-cap	ok	1	0	9931	3980	0.00676	42.2	
de-cuong-nghien-cuu-khoa-hoc	ok	1	0	9798	4970	0.00792	43.8	
bien-dieu-tiet-trong-smartpls	ok	1	0	9784	5110	0.00809	48.6	
mediator	rejected	2	0	24026	8270	0.01473	60.3	0 distinct internal links, need at least 4
tao-form-khao-sat	ok	1	0	9830	4718	0.00763	60.5	
tuong-quan-pearson	repaired	2	0	24624	9894	0.01680	84.3	
ly-thuyet-la-gi	ok	1	0	9835	5090	0.00808	39.0	
vi-du-ve-cau-hoi-dinh-luong	ok	1	0	9914	4192	0.00701	39.9	
google-form-khao-sat	ok	1	0	9828	4342	0.00718	41.3	
cach-nhan-xet-bang-tan-so	ok	1	0	9855	4336	0.00717	45.9	
phuong-phap-nghien-cuu	ok	1	0	9893	4855	0.00780	48.9	
std-la-gi	repaired	2	0	24554	9544	0.01636	61.9	
cach-tinh-phuong-sai	ok	1	0	9905	4088	0.00689	36.5	
cong-thuc-tinh-co-mau	ok	1	0	9858	4471	0.00734	38.4	
mo-hinh-la-gi	ok	1	0	9843	5169	0.00817	43.9	
gia-thuyet-nghien-cuu-la-gi	ok	1	0	9825	5104	0.00809	48.4	
du-lieu-dinh-luong-la-gi	repaired	2	0	24373	8876	0.01553	69.3	
phan-mem-stata	repaired	2	0	24605	9660	0.01651	89.4	
khao-sat-la-gi	ok	1	0	9808	4308	0.00713	38.8	
bien-kiem-soat-la-gi	ok	1	0	9981	4525	0.00743	41.2	
ly-do-chon-de-tai	ok	1	0	9840	4638	0.00753	43.7	
phuong-trinh-hoi-quy-tuyen-tinh	ok	1	0	9882	4751	0.00768	45.6	
median	ok	1	0	9875	4117	0.00692	47.7	
khach-the-nghien-cuu-la-gi	repaired	2	0	24205	8484	0.01502	69.4	
bang-cau-hoi-khao-sat-khach-hang	ok	1	0	9834	4402	0.00725	39.1	
muc-luc-tieu-luan	ok	1	0	9781	4706	0.00760	42.6	
nhung-bai-nghien-cuu-khoa-hoc-cua-sinh-vien	ok	1	0	9907	4682	0.00760	44.2	
regression	ok	1	0	9874	4423	0.00728	50.7	
mo-hinh-hoi-quy-tong-the	ok	1	0	9840	5030	0.00800	51.0	
xu-ly-du-lieu	repaired	2	0	24194	8735	0.01532	73.0	
bang-khao-sat	ok	1	0	9860	4542	0.00742	38.5	
phuong-phap-luan-nghien-cuu-khoa-hoc	ok	1	0	9942	4304	0.00715	39.2	
variance	ok	1	0	9889	4423	0.00729	43.6	
cach-xac-dinh-de-tai	ok	1	0	9816	4964	0.00792	49.9	
cach-chay-thong-ke-mo-ta-trong-spss	ok	1	0	9806	5159	0.00815	58.7	
mo-hinh-chap-nhan-cong-nghe-tam	repaired	2	0	24499	9277	0.01603	75.9	
anova	ok	1	0	9926	4128	0.00694	33.8	
mo-hinh-servperf	ok	1	0	9848	5072	0.00806	34.9	
co-mau-cua-mau-so-lieu-la-gi	ok	1	0	9921	4109	0.00692	40.4	
mo-hinh-hoi-quy	ok	1	0	9876	5549	0.00863	48.1	
nghien-cuu-dinh-luong	rejected	2	0	24933	9806	0.01675	68.0	0 distinct internal links, need at least 4
loi-cam-doan-khoa-luan	repaired	2	0	24580	9894	0.01679	70.0	
phuong-phap-dinh-tinh	ok	1	0	9930	4184	0.00701	37.6	
cong-thuc-do-lech-chuan	ok	1	0	9933	4383	0.00725	38.9	
khao-sat-muc-do-hai-long-cua-khach-hang	ok	1	0	9826	4863	0.00780	39.1	
mo-hinh-tra	ok	1	0	9797	5323	0.00835	44.8	
phuong-sai-va-do-lech-chuan	repaired	2	0	24373	8741	0.01536	59.4	
loi-mo-dau	repaired	2	0	24399	9511	0.01629	67.2	
mau-phieu-khao-sat	ok	1	0	9898	4186	0.00700	29.3	
pls	ok	1	0	9894	4479	0.00735	34.6	
bien-trung-gian-la-gi	ok	1	0	9896	4346	0.00719	35.9	
thiet-ke-bang-hoi	ok	1	0	9906	4344	0.00719	36.2	
chu-de-nghien-cuu-khoa-hoc	ok	1	0	9895	4384	0.00724	41.8	
trich-dan	ok	1	0	9780	5069	0.00804	42.8	
pham-vi-nghien-cuu	ok	1	0	9897	3939	0.00671	34.7	
cach-tinh-do-lech-chuan	ok	1	0	9912	3998	0.00678	37.5	
nghien-cuu-khoa-hoc-sinh-vien	ok	1	0	9899	4009	0.00679	39.6	
thang-do-likert-7-muc-do	ok	1	0	9878	4431	0.00729	43.1	
mo-hinh-maslow	repaired	2	0	24417	9493	0.01627	72.0	
loi-mo-dau-tieu-luan	repaired	2	0	24378	9451	0.01622	76.9	
communality	ok	1	0	9831	4598	0.00748	29.2	
danh-muc-bang-bieu-la-gi	ok	1	0	9783	4631	0.00751	37.5	
tao-gg-form-khao-sat	ok	1	0	9809	4424	0.00727	42.8	
mo-hinh-5-khoang-cach-chat-luong-dich-vu	ok	1	0	9810	5170	0.00817	43.5	
phuong-phap-dinh-luong	repaired	2	0	24647	8448	0.01507	68.9	
luan-an-tien-si	repaired	2	0	24948	10576	0.01768	77.3	
mo-hinh-chuoi-gia-tri-porter	ok	1	0	9813	4605	0.00749	31.9	
pca	ok	1	0	9884	4215	0.00703	32.6	
tinh-co-mau	ok	1	0	9903	4003	0.00678	35.4	
thang-do-chat-luong-dich-vu	ok	1	0	9773	4784	0.00770	38.0	
principal-component-analysis	ok	1	0	9831	4362	0.00720	41.5	
de-cuong-la-gi	ok	1	0	9792	5183	0.00818	44.2	
likert-5	ok	1	0	9821	4710	0.00762	36.8	
phuong-phap-chon-mau	ok	1	0	9860	4489	0.00736	37.0	
tinh-trung-vi	ok	1	0	9906	4737	0.00767	39.6	
cach-ghi-nguon-trich-dan-hinh-anh	ok	1	0	9760	4816	0.00773	39.7	
muc-tieu-nghien-cuu	repaired	2	0	24932	10407	0.01747	64.0	
thang-do-thai-do	repaired	2	0	24458	9661	0.01648	84.3	
reliability-la-gi	ok	1	0	9868	4353	0.00720	33.1	
cau-hoi-nghien-cuu	ok	1	0	9811	4412	0.00726	42.1	
thang-do-dinh-danh-la-gi	ok	1	0	9834	4507	0.00738	42.6	
co-so-ly-thuyet	ok	1	0	9861	4575	0.00746	44.5	
bang-cau-hoi-khao-sat	ok	1	0	9799	4394	0.00723	49.2	
sd-la-gi	repaired	2	0	24300	9066	0.01574	67.1	
boxplot	ok	1	0	9875	4626	0.00753	39.5	
robustness-la-gi	ok	1	0	9834	4578	0.00746	41.1	
trich-dan-ieee	repaired	2	0	24293	9410	0.01615	65.9	
paired-la-gi	repaired	2	0	23663	9336	0.01594	74.8	
loi-noi-dau	repaired	2	0	25004	10599	0.01772	80.1	
giao-trinh-phuong-phap-nghien-cuu-khoa-hoc-pdf	repaired	2	1	24686	10951	0.01808	91.9	
average-variance-extracted	ok	1	0	9854	4174	0.00698	40.5	
phuong-phap-nghien-cuu-dinh-tinh	ok	1	0	9826	5181	0.00818	45.7	
cac-de-tai-nghien-cuu-khoa-hoc-cho-sinh-vien	ok	1	0	9828	5168	0.00817	56.2	
cach-trinh-bay-tai-lieu-tham-khao	repaired	2	0	24310	9347	0.01608	60.8	
chi-square	repaired	2	0	24201	8500	0.01504	67.2	
trung-binh-nhan	repaired	2	0	24146	8572	0.01512	71.1	
p-value	ok	1	0	9911	4281	0.00712	35.1	
ki-hieu-phuong-sai	ok	1	0	9848	4664	0.00757	35.9	
correlation-la-gi	ok	1	0	9840	3996	0.00676	40.7	
dat-van-de	ok	1	0	9750	5168	0.00815	44.0	
cach-trich-nguon-tai-lieu-tham-khao	repaired	2	0	24286	9279	0.01599	66.6	
sua-dao-van	repaired	2	0	24588	9857	0.01675	77.2	
phan-mem-spss	ok	1	0	9897	4019	0.00680	30.0	
mendeley-la-gi	ok	1	0	9752	4637	0.00751	40.3	
deviation-la-gi	ok	1	0	9840	4432	0.00729	41.7	
khoang-trong-nghien-cuu-la-gi	ok	1	0	9806	4527	0.00739	44.7	
quy-trinh-nghien-cuu-khoa-hoc	ok	1	0	9817	5257	0.00827	49.1	
t-test	rejected	2	0	24127	9315	0.01600	70.1	body is 1398 words, floor is 1500
do-lech-chuan-ki-hieu	ok	1	0	9880	4301	0.00714	35.3	
khoa-luan-la-gi	ok	1	0	9753	4872	0.00780	42.4	
phuong-phap-nghien-cuu-dinh-luong	ok	1	0	9818	4899	0.00784	42.7	
dummy-la-gi	repaired	2	0	24127	8694	0.01526	65.5	
df-la-gi	repaired	2	0	24371	8919	0.01558	70.4	
thiet-ke-nghien-cuu	repaired	2	0	25479	11341	0.01870	84.3	
tuong-quan-la-gi	ok	1	0	9902	4133	0.00694	29.5	
mediators-la-gi	ok	1	0	9841	4123	0.00692	31.5	
mediation-la-gi	ok	1	0	9868	4449	0.00731	40.6	
thu-thap-du-lieu	ok	1	0	9835	4221	0.00703	40.8	
coef-la-gi	rejected	2	0	24177	8904	0.01552	64.7	0 distinct internal links, need at least 4
standard-deviation-la-gi	repaired	2	0	24555	9425	0.01622	69.3	
eigenvalue	ok	1	0	9862	4106	0.00690	29.8	
tan-so-tich-luy-la-gi	ok	1	0	9852	4391	0.00724	30.4	
eigenvector	ok	1	0	9821	4627	0.00752	36.5	
coefficient-la-gi	ok	1	0	9837	4851	0.00779	38.5	
coefficients-la-gi	ok	1	0	9868	4473	0.00734	41.2	
hoi-quy-la-gi	repaired	2	0	24125	8458	0.01497	61.6	
tan-suat-la-gi	ok	1	0	9830	4612	0.00750	36.5	
phuong-sai-ky-hieu	ok	1	0	9919	4563	0.00746	43.3	
ky-hieu-do-lech-chuan	ok	1	0	9921	4335	0.00719	43.6	
construct-la-gi	ok	1	0	9832	4971	0.00793	53.8	
ols	rejected	2	0	23969	8833	0.01539	61.2	body is 1359 words, floor is 1500
bieu-do-tan-suat	repaired	2	0	23831	8167	0.01457	61.9	
cong-thuc-tinh-phuong-sai-lop-10	ok	1	0	9855	4283	0.00711	34.6	
cach-tinh-phuong-sai-va-do-lech-chuan	ok	1	0	9860	4411	0.00727	38.0	
cong-thuc-tinh-beta	ok	1	0	9840	4107	0.00690	40.8	
kiem-dinh-t-test	repaired	2	0	24466	9057	0.01576	58.5	
cach-tinh-so-trung-binh-cua-mau-so-lieu	repaired	2	0	24382	9194	0.01591	66.8	
covariance	repaired	2	0	24306	9058	0.01573	67.8	
do-lech-chuan-trong-may-tinh	ok	1	0	9855	4189	0.00700	37.1	
cong-thuc-tinh-so-trung-vi	ok	1	0	9961	4345	0.00721	38.7	
bieu-do-hop	ok	1	0	9825	4453	0.00731	41.6	
chi-phi-trung-binh	ok	1	0	9826	4431	0.00728	43.0	
chuan-hoa-la-gi	ok	1	0	9877	4806	0.00774	51.3	
cong-thuc-he-so-tuong-quan	rejected	2	0	23871	8507	0.01498	64.6	body is 1251 words, floor is 1500
nhan-to	ok	1	0	9897	4458	0.00733	34.4	
residual-la-gi	ok	1	0	9834	4105	0.00689	36.7	
gia-thiet	ok	1	0	9861	4261	0.00709	39.6	
ordinary-least-squares-la-gi	ok	1	0	9858	4596	0.00749	43.6	
phuong-trinh-hoi-quy	repaired	2	0	24281	8874	0.01551	70.6	
exploratory-factor-analysis-la-gi	repaired	2	0	23931	8141	0.01456	77.6	
residuals-la-gi	ok	1	0	9841	4065	0.00685	34.0	
collinearity	ok	1	0	9860	4586	0.00748	34.7	
cach-lay-so-lieu-tu-tong-cuc-thong-ke	ok	1	0	9850	4548	0.00743	42.5	
tong-quan-la-gi	ok	1	0	9832	4868	0.00781	48.2	
bieu-do-duong-la-gi	repaired	2	0	23938	8280	0.01472	66.2	
chi-test	repaired	2	0	24378	8902	0.01556	67.1	
discriminant	ok	1	0	9844	3940	0.00670	36.8	
du-lieu-so	ok	1	0	9794	4826	0.00775	42.3	
cong-thuc-tinh-phuong-sai-mau	ok	1	0	9943	4118	0.00693	42.4	
dinh-ly-gia-tri-trung-binh	ok	1	0	9849	4537	0.00741	42.5	
da-cong-tuyen-la-gi	repaired	2	0	24273	9146	0.01583	66.4	
kmo	rejected	2	0	24246	8880	0.01551	69.0	0 distinct internal links, need at least 4
moderation-la-gi	ok	1	0	9874	4032	0.00681	26.2	
pearson-correlation	ok	1	0	9828	4244	0.00706	29.3	
ky-hieu-phuong-sai-va-do-lech-chuan	ok	1	0	9872	4422	0.00728	32.5	
skewed-la-gi	repaired	2	0	24152	8587	0.01513	65.2	
multicollinearity	repaired	2	0	24062	8463	0.01497	68.6	
kurtosis	repaired	2	0	24442	9154	0.01587	72.7	
bang-anova	ok	1	0	9889	4178	0.00699	25.9	
tong-quan-nghien-cuu	ok	1	0	9884	4435	0.00730	47.3	
trung-vi-la-q-may	repaired	2	0	24143	8575	0.01512	62.4	
trung-binh-la-gi	rejected	2	0	24244	8959	0.01560	65.2	0 distinct internal links, need at least 4
skewness-la-gi	repaired	2	0	24220	8548	0.01510	80.1	
correlate-la-gi	repaired	2	0	24161	9968	0.01679	85.8	
descriptive-statistics-la-gi	ok	1	0	9856	4499	0.00737	37.5	
do-tin-cay	ok	1	0	9854	4507	0.00738	40.2	
linear-regression-la-gi	ok	1	0	9829	4549	0.00742	41.9	
hiep-phuong-sai	ok	1	0	9846	4422	0.00728	46.8	
khoang-tin-cay	ok	1	0	9918	4366	0.00722	47.0	
correlated-la-gi	repaired	2	0	24073	8440	0.01494	69.1	
do-lech-chuan-ki-hieu-la-gi-trong-may-tinh	ok	1	0	9866	4358	0.00720	35.7	
pearson-la-gi	ok	1	0	9878	3785	0.00652	37.0	
mean-la-gi-trong-thong-ke	ok	1	0	9842	4533	0.00741	37.1	
thu-thap-thong-tin	ok	1	0	9834	4528	0.00740	39.7	
cach-tinh-tan-so-tich-luy	ok	1	0	9855	4160	0.00696	45.0	
logistic-regression-la-gi	rejected	2	0	24242	10103	0.01697	83.5	body is 1412 words, floor is 1500
test-de-durbin-watson	ok	1	0	9914	4128	0.00694	37.6	
spss-cach-dung	ok	1	0	9849	4596	0.00749	39.2	
one-factor-anova	ok	1	0	9846	4737	0.00765	40.1	
phuong-sai-mau	ok	1	0	9844	4330	0.00716	40.3	
muc-y-nghia-la-gi	ok	1	0	9872	4065	0.00685	41.3	
phan-vi-la-gi	ok	1	0	9831	4425	0.00728	47.5	
kiem-dinh-chi-binh-phuong-la-gi	ok	1	0	9851	4301	0.00713	34.4	
gia-tri-hoi-tu-la-gi	ok	1	0	9877	4419	0.00728	35.4	
ancova-la-gi	ok	1	0	9836	4581	0.00746	40.6	
bang-tan-so-trong-spss	ok	1	0	9800	4246	0.00706	55.9	
bang-cau-hoi-la-gi	repaired	2	0	24076	8623	0.01516	63.1	
phan-tich-gia-tri-ngoai-lai-la-gi	repaired	2	0	24144	8765	0.01535	84.0	
bieu-do-boxplot-trong-spss	ok	1	0	9870	4352	0.00720	34.0	
bien-tiem-an-la-gi	ok	1	0	9894	4271	0.00710	34.1	
cach-lam-khao-sat-online	ok	1	0	9778	4731	0.00763	41.8	
anova-trong-spss	ok	1	0	9806	3937	0.00669	44.3	
5-ap-luc-canh-tranh-porter-la-gi	ok	1	0	9810	4985	0.00794	46.1	
blindfolding-la-gi	ok	1	0	9858	4503	0.00738	49.2	
5-khoang-cach-chat-luong-dich-vu-la-gi	ok	1	0	9807	5131	0.00812	34.7	
bootstrapping-la-gi	ok	1	0	9858	4389	0.00724	39.6	
ave-trong-spss	ok	1	0	9841	4164	0.00696	40.5	
cau-hoi-sang-loc-la-gi	ok	1	0	9858	4502	0.00737	44.1	
bootstrap-trung-gian-trong-spss	ok	1	0	9827	4423	0.00727	49.1	
acsi-la-gi	ok	1	0	9809	5393	0.00843	56.5	
bac-tu-do-la-gi	ok	1	0	9882	4409	0.00727	39.6	
cronbach-alpha-trong-spss	ok	1	0	9928	4362	0.00722	42.8	
item-total-correlation-nho-hon-0-3-phai-lam-sao	ok	1	0	10011	4357	0.00723	45.6	
balanced-scorecard-la-gi	ok	1	0	9810	4843	0.00777	46.5	
cb-sem-trong-spss	ok	1	0	9818	4680	0.00758	63.8	
chon-mau-ngau-nhien	repaired	2	0	24380	8957	0.01562	71.6	
composite-reliability-la-gi	ok	1	0	9918	4499	0.00738	41.7	
boxplot-trong-spss	ok	1	0	9814	4524	0.00739	46.2	
bcg-la-gi	ok	1	0	9812	5450	0.00850	50.3	
co-mau-trong-spss	ok	1	0	9894	3968	0.00674	55.9	
kiem-dinh-do-tin-cay-thang-do-trong-spss	repaired	2	0	24587	9496	0.01631	71.8	
cfi-la-gi	repaired	2	0	23950	8221	0.01466	83.7	
chi-so-phu-hop-mo-hinh-la-gi	ok	1	0	9916	4845	0.00780	35.0	
construct-validity-la-gi	ok	1	0	9881	4142	0.00695	41.0	
bien-doc-lap-la-gi	rejected	2	0	24606	8852	0.01554	66.0	0 distinct internal links, need at least 4
loi-cronbach-alpha-am-spss	repaired	2	0	24971	9259	0.01611	71.2	
khao-sat-thu	repaired	2	0	24208	8737	0.01533	75.0	
google-form	repaired	2	0	24041	8661	0.01520	78.3	
gfi-la-gi	ok	1	0	9854	4434	0.00729	32.1	
f-square-la-gi	ok	1	0	9854	4250	0.00707	42.0	
phan-tich-cronbach-alpha-spss	ok	1	0	9859	4636	0.00754	42.1	
corrected-item-total-correlation-la-gi	ok	1	0	9918	4349	0.00720	42.1	
cac-ben-lien-quan-la-gi	ok	1	0	9812	4495	0.00736	42.6	
khung-mau-la-gi	ok	1	0	9885	4275	0.00711	50.8	
chap-nhan-cong-nghe-tam-la-gi	ok	1	0	9832	5255	0.00827	40.4	
mo-hinh-cau-truc-la-gi	ok	1	0	9906	4464	0.00734	40.9	
cross-loading-la-gi	ok	1	0	9881	3992	0.00677	46.0	
ma-hoa-bang-hoi-la-gi	ok	1	0	9833	4595	0.00748	47.6	
phan-tich-sobel-test-spss	ok	1	0	9850	4837	0.00777	55.2	
chat-luong-dich-vu-gronroos-la-gi	ok	1	0	9825	4990	0.00795	63.7	
df-trong-spss	ok	1	0	9836	4298	0.00712	40.0	
mau-nghien-cuu-la-gi	ok	1	0	9891	4471	0.00734	40.8	
thang-do-khong-dat-do-tin-cay-phai-lam-sao	ok	1	0	10022	4327	0.00720	40.9	
chuoi-gia-tri-porter-la-gi	ok	1	0	9814	4812	0.00774	53.1	
thong-ke-nhan-khau-hoc-trong-spss	ok	1	0	9806	4572	0.00745	54.4	
modification-indices-la-gi	repaired	2	0	24516	9357	0.01613	76.3	
do-lech-chuan-trong-spss	ok	1	0	9820	4419	0.00727	43.3	
so-quan-sat-tren-mot-bien-quan-sat-la-gi	ok	1	0	9914	4214	0.00704	44.7	
dai-dien-la-gi	ok	1	0	9808	4719	0.00762	47.9	
do-tin-cay-95-la-gi	ok	1	0	9888	4862	0.00781	49.0	
outer-weight-la-gi	ok	1	0	9877	4181	0.00699	50.0	
sai-so-chon-mau-la-gi	ok	1	0	9894	4184	0.00700	52.6	
thang-do-likert-5-muc-khao-sat	ok	1	0	9843	4264	0.00709	42.4	
path-coefficient-la-gi	ok	1	0	9855	4377	0.00722	49.7	
do-tin-cay-tong-hop-la-gi	ok	1	0	9955	4448	0.00733	49.9	
pls-predict-la-gi	repaired	2	0	24383	9067	0.01576	73.6	
e-servqual-la-gi	repaired	2	0	24827	10257	0.01727	78.4	
ecsi-la-gi	repaired	2	0	24572	9441	0.01624	79.6	
q-square-la-gi	ok	1	0	9854	4246	0.00707	39.9	
effect-size-la-gi	ok	1	0	9868	4264	0.00709	40.5	
fornell-larcker-la-gi	ok	1	0	9885	4685	0.00760	41.5	
thu-thap-du-lieu-so-cap	ok	1	0	9812	4376	0.00721	46.0	
gia-tri-tieu-dung-la-gi	ok	1	0	9796	5301	0.00832	49.3	
thiet-ke-bang-hoi-khao-sat	rejected	2	0	24031	8230	0.01468	65.5	1 distinct internal links, need at least 4
rmsea-la-gi	ok	1	0	9854	4288	0.00712	32.7	
tong-the-nghien-cuu-la-gi	ok	1	0	9894	4392	0.00725	34.9	
hanh-vi-du-dinh-la-gi	ok	1	0	9838	5496	0.00856	52.7	
r-square-trong-spss	rejected	2	0	23814	7921	0.01427	73.1	0 distinct internal links, need at least 4
gia-thuyet-h0-la-gi	rejected	2	0	24421	8875	0.01553	74.2	body is 1216 words, floor is 1500
is-success-delone-mclean-la-gi	repaired	2	1	24722	9903	0.01683	81.2	
gia-tri-be-mat-la-gi	ok	1	0	9956	4016	0.00681	26.9	
ty-le-phan-hoi	ok	1	0	9806	4386	0.00722	40.6	
srmr-la-gi	ok	1	0	9858	4692	0.00760	43.6	
sem-trong-spss	ok	1	0	9816	4604	0.00749	51.7	
kano-la-gi	ok	1	0	9809	5956	0.00911	59.1	
gia-tri-trung-binh-la-gi	rejected	2	0	24385	9210	0.01593	66.5	0 distinct internal links, need at least 4
tli-la-gi	ok	1	0	9854	3890	0.00664	37.0	
thang-do-bac-hai-la-gi	ok	1	0	9938	4390	0.00726	39.4	
khuech-tan-doi-moi-la-gi	ok	1	1	9833	4981	0.00794	45.8	
histogram-la-gi	ok	1	0	9850	4291	0.00712	50.9	
ky-vong-xac-nhan-ecm-la-gi	ok	1	0	9833	4976	0.00794	52.0	
hieu-chinh-bonferroni-la-gi	ok	1	0	9866	4762	0.00769	53.6	
khoang-bien-thien-la-gi	ok	1	0	9864	4086	0.00688	40.8	
ly-thuyet-tam	ok	1	0	9929	5567	0.00867	42.8	
khoang-tin-cay-trong-spss	ok	1	0	9841	4558	0.00744	43.8	
htmt-la-gi	ok	1	0	9874	3820	0.00656	44.4	
ly-thuyet-bcg	ok	1	0	9917	4933	0.00790	56.0	
ly-thuyet-acsi	rejected	2	0	25060	10168	0.01721	87.8	0 distinct internal links, need at least 4
kiem-dinh-hai-duoi-la-gi	ok	1	0	9964	4199	0.00703	40.2	
kiem-dinh-tukey-la-gi	ok	1	0	9919	4287	0.00713	41.9	
ly-thuyet-tpb	ok	1	0	9904	4816	0.00776	45.2	
mo-hinh-bcg	ok	1	0	9869	4863	0.00781	48.4	
kolmogorov-smirnov-la-gi	ok	1	0	9864	4592	0.00748	53.7	
mo-hinh-acsi	repaired	2	0	25181	10758	0.01795	89.8	
nguon-luc-rbv-la-gi	ok	1	0	9812	5203	0.00821	43.9	
mo-hinh-tu-quyet	ok	1	0	9867	4625	0.00752	51.2	
mann-whitney-la-gi	ok	1	0	9840	4794	0.00772	53.8	
kruskal-wallis-la-gi	ok	1	0	9845	4376	0.00722	55.6	
