keyword	search_volume	verdict	reason
kiểm định bartlett trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
kiểm định bartlett bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
eigenvalue là gì		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
eigenvalue trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
eigenvalue bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
phương sai trích là gì		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
phương sai trích trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
phương sai trích bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
total variance explained là gì		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
total variance explained trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
total variance explained bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
hệ số tải nhân tố là gì		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
hệ số tải nhân tố trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
hệ số tải nhân tố bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
factor loading là gì		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
factor loading trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
factor loading bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
communality là gì		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
communality trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
communality bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
principal component analysis là gì		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
principal component analysis trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
principal component analysis bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
phép xoay varimax là gì		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
phép xoay varimax trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
phép xoay varimax bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
phép xoay promax là gì		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
phép xoay promax trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
phép xoay promax bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
pattern matrix là gì		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
pattern matrix trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
pattern matrix bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
structure matrix là gì		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
structure matrix trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
structure matrix bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
ma trận xoay nhân tố là gì		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
ma trận xoay nhân tố trong spss		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
ma trận xoay nhân tố bao nhiêu là tốt		drop	unmeasured; family 'efa' sample 2/6 pass, aggregate 3,990
giá trị trung bình là gì		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
giá trị trung bình trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
giá trị trung bình bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
trung vị là gì	4400	pass	volume 4400
trung vị trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
trung vị bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
mode trong thống kê là gì		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
mode trong thống kê trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
mode trong thống kê bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
độ lệch chuẩn là gì	2900	pass	volume 2900
độ lệch chuẩn trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
độ lệch chuẩn bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
phương sai là gì	2900	pass	volume 2900
phương sai trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
phương sai bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
khoảng biến thiên là gì		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
khoảng biến thiên trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
khoảng biến thiên bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
tứ phân vị là gì		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
tứ phân vị trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
tứ phân vị bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
skewness là gì	320	pass	volume 320
skewness trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
skewness bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
kurtosis là gì		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
kurtosis trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
kurtosis bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
phân phối chuẩn là gì		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
phân phối chuẩn trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
phân phối chuẩn bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
histogram là gì		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
histogram trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
histogram bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
boxplot là gì		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
boxplot trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
boxplot bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
outlier là gì	1000	pass	volume 1000
outlier trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
outlier bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
missing value là gì		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
missing value trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
missing value bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
thống kê mô tả là gì	320	pass	volume 320
thống kê mô tả bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
tần số là gì		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
tần số trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
tần số bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
phần trăm tích lũy là gì		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
phần trăm tích lũy trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
phần trăm tích lũy bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
z score là gì		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
z score trong spss		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
z score bao nhiêu là tốt		pass	unmeasured; family 'descriptive' sample 7/9 pass, aggregate 11,880
p value là gì	590	pass	volume 590
p value trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
p value bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
mức ý nghĩa là gì	170	pass	volume 170
mức ý nghĩa trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
mức ý nghĩa bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
giả thuyết h0 là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
giả thuyết h0 trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
giả thuyết h0 bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
giả thuyết đối là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
giả thuyết đối trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
giả thuyết đối bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
sai lầm loại 1 là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
sai lầm loại 1 trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
sai lầm loại 1 bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
sai lầm loại 2 là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
sai lầm loại 2 trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
sai lầm loại 2 bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
khoảng tin cậy là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
khoảng tin cậy trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
khoảng tin cậy bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
độ tin cậy 95 là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
độ tin cậy 95 trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
độ tin cậy 95 bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
bậc tự do là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
bậc tự do trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
bậc tự do bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
df là gì	880	pass	volume 880
df trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
df bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
giá trị tới hạn là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
giá trị tới hạn trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
giá trị tới hạn bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
kiểm định một đuôi là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
kiểm định một đuôi trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
kiểm định một đuôi bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
kiểm định hai đuôi là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
kiểm định hai đuôi trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
kiểm định hai đuôi bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
power của kiểm định là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
power của kiểm định trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
power của kiểm định bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
effect size là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
effect size trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
effect size bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
kiểm định giả thuyết là gì		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
kiểm định giả thuyết trong spss		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
kiểm định giả thuyết bao nhiêu là tốt		pass	unmeasured; family 'inference' sample 3/3 pass, aggregate 1,640
hệ số hồi quy là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hệ số hồi quy trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hệ số hồi quy bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
beta chuẩn hóa là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
beta chuẩn hóa trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
beta chuẩn hóa bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
r bình phương là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
r bình phương trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
r bình phương bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
r bình phương hiệu chỉnh là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
r bình phương hiệu chỉnh trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
r bình phương hiệu chỉnh bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hệ số chặn là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hệ số chặn trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hệ số chặn bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
đa cộng tuyến là gì	320	pass	volume 320
đa cộng tuyến trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
đa cộng tuyến bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
vif là gì	260	pass	volume 260
vif trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
vif bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
tolerance là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
tolerance trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
tolerance bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
durbin watson là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
durbin watson trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
durbin watson bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
phần dư là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
phần dư trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
phần dư bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
phương sai sai số thay đổi là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
phương sai sai số thay đổi trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
phương sai sai số thay đổi bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hồi quy tuyến tính là gì	320	pass	volume 320
hồi quy tuyến tính bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hồi quy đa biến là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hồi quy đa biến trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hồi quy đa biến bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hồi quy đơn biến là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hồi quy đơn biến trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hồi quy đơn biến bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hồi quy logistic là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hồi quy logistic bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
biến giả là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
biến giả trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
biến giả bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
phương pháp stepwise là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
phương pháp stepwise trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
phương pháp stepwise bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
phương pháp enter là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
phương pháp enter trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
phương pháp enter bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
sig trong hồi quy là gì		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
sig trong hồi quy trong spss		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
sig trong hồi quy bao nhiêu là tốt		drop	unmeasured; family 'regression' sample 3/9 pass, aggregate 900
hệ số tương quan pearson là gì		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
hệ số tương quan pearson trong spss		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
hệ số tương quan pearson bao nhiêu là tốt		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
tương quan spearman là gì		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
tương quan spearman trong spss		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
tương quan spearman bao nhiêu là tốt		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
ma trận tương quan là gì		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
ma trận tương quan trong spss		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
ma trận tương quan bao nhiêu là tốt		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
tương quan riêng phần là gì		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
tương quan riêng phần bao nhiêu là tốt		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
hệ số xác định là gì		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
hệ số xác định trong spss		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
hệ số xác định bao nhiêu là tốt		drop	unmeasured; family 'correlation' sample 0/0 pass, aggregate 0
sem là gì	1300	pass	volume 1300
sem trong spss		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
sem bao nhiêu là tốt		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
pls sem là gì	320	pass	volume 320
pls sem trong spss		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
pls sem bao nhiêu là tốt		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
cb sem là gì	40	pass	volume 40
cb sem trong spss		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
cb sem bao nhiêu là tốt		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
biến tiềm ẩn là gì		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
biến tiềm ẩn trong spss		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
biến tiềm ẩn bao nhiêu là tốt		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
biến quan sát là gì		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
biến quan sát trong spss		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
biến quan sát bao nhiêu là tốt		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
mô hình đo lường là gì		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
mô hình đo lường trong spss		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
mô hình đo lường bao nhiêu là tốt		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
mô hình cấu trúc là gì		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
mô hình cấu trúc trong spss		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
mô hình cấu trúc bao nhiêu là tốt		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
path coefficient là gì		pass	unmeasured; family 'sem' sample 3/3 pass, aggregate 1,660
