unit	display	templates	category	archetype	family
thao-luan-ket-qua	thảo luận kết quả	cách viết {display} luận văn;{display} trong luận văn là gì	luan-van-thac-si	thesis-writing	ch5
ket-luan	kết luận	cách viết {display} luận văn;{display} trong luận văn là gì	luan-van-thac-si	thesis-writing	ch5
ham-y-quan-tri	hàm ý quản trị	cách viết {display} luận văn;{display} trong luận văn là gì	luan-van-thac-si	thesis-writing	ch5
kien-nghi	kiến nghị	cách viết {display} luận văn;{display} trong luận văn là gì	luan-van-thac-si	thesis-writing	ch5
han-che-cua-de-tai	hạn chế của đề tài	cách viết {display} luận văn;{display} trong luận văn là gì	luan-van-thac-si	thesis-writing	ch5
huong-nghien-cuu-tiep-theo	hướng nghiên cứu tiếp theo	cách viết {display} luận văn;{display} trong luận văn là gì	luan-van-thac-si	thesis-writing	ch5
tai-lieu-tham-khao	tài liệu tham khảo	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
phu-luc	phụ lục	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
tom-tat-luan-van	tóm tắt	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
abstract	abstract	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
loi-cam-doan	lời cam đoan	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
loi-cam-on	lời cảm ơn	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
muc-luc	mục lục	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
danh-muc-bang-bieu	danh mục bảng biểu	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
danh-muc-tu-viet-tat	danh mục từ viết tắt	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
trang-bia	trang bìa	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
de-cuong	đề cương	cách viết {display} luận văn;{display} trong luận văn là gì	luan-van-thac-si	thesis-writing	planning
slide-bao-ve	slide bảo vệ	cách viết {display} luận văn;{display} trong luận văn là gì	luan-van-thac-si	thesis-writing	planning
nhan-xet-cua-giang-vien-huong-dan	nhận xét của giảng viên hướng dẫn	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
nhan-xet-cua-don-vi-thuc-tap	nhận xét của đơn vị thực tập	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
phu-luc-ket-qua-spss	phụ lục kết quả spss	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
danh-muc-cong-trinh-cong-bo	danh mục công trình công bố	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	front-back
cac-nghien-cuu-trong-nuoc-va-ngoai-nuoc	các nghiên cứu trong nước và ngoài nước	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	ch2
bang-tong-hop-nghien-cuu-truoc	bảng tổng hợp nghiên cứu trước	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	ch2
dinh-nghia-khai-niem-nghien-cuu	định nghĩa khái niệm nghiên cứu	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	ch2
phuong-phap-phan-tich-du-lieu	phương pháp phân tích dữ liệu	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	ch3
ket-qua-phan-tich-tuong-quan	kết quả phân tích tương quan	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	ch4
ket-qua-kiem-dinh-khac-biet	kết quả kiểm định khác biệt	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	ch4
ket-qua-phan-tich-sem	kết quả phân tích sem	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	ch4
so-sanh-voi-nghien-cuu-truoc	so sánh với nghiên cứu trước	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	ch5
dong-gop-cua-nghien-cuu	đóng góp của nghiên cứu	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	ch5
ham-y-ly-thuyet	hàm ý lý thuyết	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	ch5
tinh-moi-cua-de-tai	tính mới của đề tài	cách viết {display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	ch5
quy-dinh-trinh-bay	quy định trình bày	{display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	format
trinh-bay-bang-bieu	trình bày bảng biểu	{display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	format
trich-dan-theo-apa	trích dẫn theo apa	{display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	format
kiem-tra-dao-van	kiểm tra đạo văn	{display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	format
ke-hoach-tien-do	kế hoạch tiến độ	{display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	planning
tra-loi-cau-hoi-hoi-dong	trả lời câu hỏi hội đồng	{display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	defence
giai-trinh-chinh-sua-sau-bao-ve	giải trình chỉnh sửa sau bảo vệ	{display} luận văn;{display} trong luận văn là gì	khoa-luan-tot-nghiep	thesis-writing	defence
